ID	run
0	
T145171	0
T145193	0
T145241	0
T145242	0
T145152	0
T145153	0
T145200	0
T145163	0
T144996	1
T144967	1
T145003	1
T144997	1
T144979	1
T144989	1
T144981	1
T144974	1
