file	unwtd_lame_fst	fst
results/BY_CHROM/NC_037122.1f5t9/winsfs_fst/Fall--x--Spring.txt	0.034057	0.048934
results/BY_CHROM/NC_037123.1f10t14/winsfs_fst/Fall--x--Spring.txt	0.033486	0.013232
results/BY_CHROM/NC_037124.1f8t16/winsfs_fst/Fall--x--Spring.txt	0.040245	0.113800
results/BY_CHROM/NC_037125.1f20t24/winsfs_fst/Fall--x--Spring.txt	0.029233	0.022948
